"State ID","State","Trade Value Export","Trade Value Import","Trade Value Delta"
1,"Aguascalientes",629606831,1244320512,-614713681
2,"Baja California",5021194488,5556665859,-535471371
3,"Baja California Sur",115174,23623313,-23508139
4,"Campeche",2094664,41950195,-39855531
5,"Coahuila de Zaragoza",6312415204,3993648730,2318766474
6,"Colima",775242,79442612,-78667370
7,"Chiapas",322243,16611092,-16288849
8,"Chihuahua",26453970907,16845899597,9608071310
9,"Ciudad de México",9546993196,24056981116,-14509987920
10,"Durango",163782414,302044122,-138261708
11,"Guanajuato",1688509511,3379450807,-1690941296
12,"Guerrero",0,1539561,-1539561
13,"Hidalgo",41022490,286703267,-245680777
14,"Jalisco",4829565527,6107213720,-1277648193
15,"Estado de México",3657571059,5818862370,-2161291311
16,"Michoacán de Ocampo",22988553,238636357,-215647804
17,"Morelos",141891306,172702682,-30811376
18,"Nayarit",0,10579900,-10579900
19,"Nuevo León",18000763962,11835058444,6165705518
20,"Oaxaca",327379,5612016,-5284637
21,"Puebla",2226905285,2483867321,-256962036
22,"Querétaro",4072115572,3919341582,152773990
23,"Quintana Roo",3358022,101504414,-98146392
24,"San Luis Potosí",1380569544,2214575394,-834005850
25,"Sinaloa",22670244,223620261,-200950017
26,"Sonora",1614706594,1725006854,-110300260
27,"Tabasco",34522999,278505165,-243982166
28,"Tamaulipas",6700928273,2917034912,3783893361
29,"Tlaxcala",261092691,257327930,3764761
30,"Veracruz de Ignacio de la Llave",270306968,409285323,-138978355
31,"Yucatán",282184841,514027206,-231842365
32,"Zacatecas",40479588,58581397,-18101809
33,"No Informado",250358,0,250358